class,left_elbow_angle,right_elbow_angle,left_back_angle,right_back_angle
good_form,127.45156711702077,129.96045361736432,174.68193219125916,168.99059325306825
good_form,123.42829715986079,129.21219677499676,174.40584115293353,169.74526713069415
good_form,121.8536044092589,128.34139052002715,173.97114795801815,170.08962568521582
good_form,122.33168388109829,128.21853716386894,173.86968936758373,170.28148089744576
good_form,122.64466279252329,128.24584020796823,173.85225860258174,170.66795757338494
good_form,122.48949780295021,128.28776465443934,173.820598075477,170.96095356380036
good_form,121.9661781962156,128.60812846364604,173.67548391068874,171.18071970554175
good_form,122.34249576482361,129.1367076490162,173.59060779072712,171.05659487339818
good_form,122.36628225272116,129.56500035984894,173.5790955267035,171.0431088385647
good_form,124.26964614136261,127.50462799769872,173.40298641783252,171.0793782788222
good_form,128.5678974347405,124.11322429471822,173.4394387020862,170.29844206097732
good_form,132.62753265491946,121.1445230916919,173.63163986694397,169.5798099394999
good_form,130.42275794716846,117.88420590941782,173.52638468538353,168.70942539091476
good_form,124.145433198431,115.61328977371218,173.5144035143209,167.4842084286772
good_form,119.6423026050177,112.95745567217796,173.235156262536,166.61770551271061
good_form,119.40265252814231,111.9182491494801,173.45030276143103,165.9726314708592
good_form,118.58695233916438,111.46389950420684,173.52920295696066,165.5838969551855
good_form,113.72875132636165,107.46115743392836,174.04609199331125,165.35150633120554
good_form,110.74528317306616,102.39459757069864,174.56194152203324,165.43057148582278
good_form,112.23070794427906,95.65274948302657,174.3267625114443,165.3970686858685
good_form,108.51404745957501,93.17941102448377,173.65021995439506,164.93187230221776
good_form,104.65545149909747,89.51668362231264,173.19639532928196,164.23204171919733
good_form,102.17871208841825,85.19657677263159,173.02994986824046,163.93567364461754
good_form,101.60448966924889,75.07448845744605,173.03396591419244,162.90239456744467
good_form,100.17522331318526,73.32576862448404,172.63179772021562,161.84145305010043
good_form,99.42162552602588,69.29539321902597,172.91258338545856,161.58872893744888
good_form,94.02823951352292,65.02918804958607,172.89245721136862,161.44490025472223
good_form,93.57692445366101,63.114500301797634,173.60072231949863,161.33739061753315
good_form,90.50510374422413,62.93851276373146,173.76680211375893,161.14374992589163
good_form,91.76192959852821,60.72717552184125,174.37381412667608,160.9171041522342
good_form,88.70837854267914,59.637943965126276,174.4580519119534,160.66344426067724
good_form,86.98221820428738,56.99956110991091,174.49135917621666,160.95775328189154
good_form,86.92378475789461,55.07797713766786,174.87096227823898,161.51099786616632
good_form,88.92704087455247,55.13297328299709,175.43379943421638,161.5597916819745
good_form,90.7096083337816,53.605967324034744,175.6840021796022,161.9385639136856
good_form,88.42566518602034,51.46412046650058,176.2567807704321,162.56111881327055
good_form,84.61793507364112,49.41239508680677,175.7499965095141,163.31497821519662
good_form,82.62272159332792,46.841742165705185,175.25000277306145,163.97209848471456
good_form,78.41110820765967,45.7246515968167,174.10667414462708,164.98595935459952
good_form,77.14333165680623,46.18360400826655,173.75095281370432,165.67039065966563
good_form,76.36639336895155,45.73180948502363,173.26901249611566,166.00658111266404
good_form,77.73415406932286,45.46255994632001,172.43055505155178,166.64254152960623
good_form,76.77185895973624,45.77121669132365,172.22341249722044,167.18267103352323
good_form,72.26960058490148,46.14704289916011,172.11972693646067,167.2517921378301
good_form,70.51149139147418,46.36871844772337,172.02576073349866,167.34278630510033
good_form,70.69044229535982,46.75706740755536,171.6912835228024,167.18820778242534
good_form,68.09155221810411,45.92449150733472,171.89227350438358,167.05242358139412
good_form,66.92712476527444,45.780554238883106,171.7413594838783,167.75803873359595
good_form,65.58995684942757,45.55373198894046,171.36997763185994,168.3226081300548
good_form,63.701863805581525,45.70587197132729,170.79995975659799,168.77779708482993
good_form,62.06049738829305,45.349211341315915,169.65880366798302,169.09023593458852
good_form,63.94572114629846,44.360380974630836,169.81120520367,168.94369685194897
good_form,67.28849005539244,43.37593391413438,170.71137122240393,168.88436982935465
good_form,69.94940472089384,42.62596998751925,171.83546428867726,168.26744492541783
good_form,66.79370052449697,42.01520621194687,172.669068343975,168.2135668844385
good_form,66.11613508320973,41.76632497435848,172.98027599961128,168.2389494663636
good_form,66.69737349445373,41.040324428663894,173.29291261086848,168.02291933696873
good_form,65.40308680992501,40.57498746549518,173.45762821181148,167.9180733777862
good_form,67.2788239670439,39.542895089939854,174.1151258056114,167.80177376500413
good_form,68.14905319469082,39.47432740885079,174.40977990288854,167.56465016067645
good_form,69.04335489069022,39.32371956242418,174.91496250301017,167.19341654642963
good_form,69.09789215956545,39.76426317152681,174.80875201963337,167.53661381622004
good_form,69.0244635202052,39.789987744358676,174.83738299289308,167.54540063922448
good_form,68.51349803166579,39.39970767335782,175.00566245008207,167.4881162434203
good_form,68.67994251674142,39.54533499336598,175.05945086140846,167.59823048921203
good_form,68.85998147166441,39.40189977710114,175.26616409027915,167.553435936916
good_form,71.33438117005718,41.32824989373821,175.3904588852951,167.0866926772726
good_form,71.94543741069569,43.355697292782125,174.81651483882908,167.10717196606763
good_form,72.12232912921154,45.68260421206958,173.8786289782565,167.37720103665265
good_form,72.85772169725843,48.705317720133344,172.71586045059627,168.17466082391036
good_form,70.92331632096001,48.85671815598767,172.13580073309768,168.41607261859028
