class,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle
good_form,128.1052247432945,132.666790695582,177.62457766271484,179.31990472845817
good_form,126.81928267266147,132.03666716657233,179.0252913440272,177.77274076813887
good_form,122.43968642819539,129.817261773531,179.54092443893052,175.75966130867002
good_form,119.36040365965405,120.42464737160194,178.0747731481179,175.00189601839568
good_form,115.37860486105478,89.73602922765713,177.57673995380424,171.17195318468984
good_form,110.19820445282636,78.43274187581564,177.69487295814662,170.38040044395558
good_form,104.3720698095,69.42731009718503,176.75383864562522,170.04887507659072
good_form,101.4013210324789,64.43903338754868,176.8686134129811,170.84610847374927
good_form,96.56586549737591,56.8115125801587,177.63134075145763,171.96550697204486
good_form,93.74918676510077,55.46558573963459,178.27877623227448,171.83117436930502
good_form,89.36021633677501,52.47913451751497,179.20489539137853,172.55157686298963
good_form,89.16364183006533,52.89632361655716,179.37040513490481,173.29874323731332
good_form,89.34015602679875,52.49095615838265,178.54480144333374,172.1162209014283
good_form,86.50548711601263,51.58021820931278,179.2852260106733,172.65412299086822
good_form,88.06361358294642,52.208269894496446,178.443353825301,173.24586911038992
good_form,86.10484298614435,51.71441897148802,177.6587907488082,173.7204148696974
good_form,83.44162794686612,51.42950449956415,176.69276013149818,171.89138254614454
good_form,82.14715005622277,51.31869526078511,175.6965673852206,171.91533973993043
good_form,78.77116092105899,50.02096127336175,176.35254301344452,171.91591161823044
good_form,77.64103826313917,49.804038751032095,176.12655476149027,172.43549271005548
good_form,75.8083638932507,50.089472356460796,177.4402598464652,172.85283270623106
good_form,78.51514987288071,50.711150166396116,178.18499413704924,172.93662393269494
good_form,83.59798062015071,51.025971548471965,177.60500585373953,172.96992773437893
good_form,86.13383187190081,50.99816171644225,176.2045547277239,172.14152611176144
good_form,88.08927932728149,51.26332010962799,176.10947989999244,172.24916701598926
good_form,91.68337850149021,51.64694978209516,176.12022159597834,172.07637299380806
good_form,97.41525217158932,54.545156439551114,176.07815240608363,170.65956563447227
good_form,99.89089210876722,57.68280042458111,177.15134238274078,171.1174236198876
good_form,103.70501176528171,62.163039148566554,175.0890460785272,169.849873839691
good_form,107.65139331760486,69.99847629517795,174.67252115324757,168.41319856722257
good_form,115.6857525159048,98.98019998574063,173.49476210951673,170.8787898598463
good_form,120.42664409516172,135.1399930569964,174.70436955774358,172.1181324684508
good_form,127.71188219630852,147.70643341588692,174.78455974252748,173.39301974892706
