class,left_elbow_angle,right_elbow_angle,left_shoulder_swing_angle,right_shoulder_swing_angle
good_form,163.19738036518547,164.31855195356303,27.920162125015988,30.310174845217166
good_form,163.02759332135153,163.4090537599756,27.90194869520399,29.82168858668753
good_form,162.95032313102539,162.74154308091224,27.82548898338398,29.53463527714116
good_form,163.35488279470437,161.65215430579346,27.82404922294306,29.11039711266208
good_form,163.76114920316328,160.790191746525,27.77487300135167,28.811816304838054
good_form,164.8039523552329,160.87965545714238,28.12980500695259,29.091938870139433
good_form,165.24333697723694,161.27066090902565,28.04570709963298,29.703960702113772
good_form,164.51261272495984,160.2034569992922,27.72355504246162,29.97763855238487
good_form,163.46968400364563,159.11350341451683,27.50501958763122,30.412504224840134
good_form,161.73928047941786,158.03273941189116,27.090504836930617,30.88881840442185
good_form,160.56035374875015,156.1186589484844,26.985372062931226,31.188697103626676
good_form,161.46502925820155,155.13242667846177,27.450641240435914,31.758365349443913
good_form,161.46095642848124,155.20080033503226,28.139720700250695,32.4018885585566
